filename,width,height,class,xmin,ymin,xmax,ymax
vid_2_131.jpg,664,1182,phone,125,574,277,690
vid_32_093.jpg,664,1182,remote,46,44,581,162
VID_20180112_114648960_012.jpg,664,1182,bag,301,497,419,664
VID_20180112_114648960_012.jpg,664,1182,chair,130,511,259,976
VID_20180112_114601943_076.jpg,664,1182,bag,108,366,354,595
vid_6_056.jpg,664,1182,laptop,101,312,443,567
vid_6_056.jpg,664,1182,chair,3,94,249,370
vid_33_089.jpg,664,1182,remote,194,573,385,635
vid_22_013.jpg,664,1182,laptop,94,244,501,646
vid_5_067.jpg,664,1182,phone,131,337,315,431
vid_6_065.jpg,664,1182,laptop,101,294,451,551
vid_27_167.jpg,664,1182,bag,103,486,443,694
vid_27_167.jpg,664,1182,chair,30,289,231,483
vid_27_167.jpg,664,1182,chair,474,297,664,573
vid_7_217.jpg,664,1182,laptop,129,311,371,518
vid_7_217.jpg,664,1182,bag,144,36,329,166
vid_7_217.jpg,664,1182,bag,338,28,513,153
VID_20180112_114601943_048.jpg,664,1182,bag,74,713,291,934
vid_27_179.jpg,664,1182,bag,154,618,452,822
vid_27_179.jpg,664,1182,chair,69,435,257,620
vid_27_179.jpg,664,1182,chair,480,440,658,683
vid_3_019.jpg,1182,664,phone,493,241,574,342
vid_3_019.jpg,1182,664,laptop,488,1,735,173
vid_32_029.jpg,664,1182,remote,262,648,442,707
vid_25_149.jpg,664,1182,bag,120,412,429,761
vid_22_018.jpg,664,1182,laptop,98,379,415,679
VID_20180112_114359793_108.jpg,1182,664,bag,489,207,578,307
VID_20180112_114359793_108.jpg,1182,664,chair,293,225,403,317
VID_20180112_114359793_108.jpg,1182,664,chair,504,237,679,527
VID_20180112_114359793_108.jpg,1182,664,chair,180,253,419,620
VID_20180112_114359793_108.jpg,1182,664,chair,13,330,238,611
vid_1_023.jpg,664,1182,phone,293,414,657,685
vid_30_036.jpg,664,1182,remote,208,611,347,726
vid_30_036.jpg,664,1182,chair,1,153,184,339
vid_30_036.jpg,664,1182,chair,360,248,514,535
vid_30_036.jpg,664,1182,chair,325,642,664,1135
vid_30_036.jpg,664,1182,box,569,357,664,527
VID_20180112_114434719_114.jpg,664,1182,bag,176,429,454,806
VID_20180112_114434719_114.jpg,664,1182,chair,113,268,229,413
VID_20180112_114434719_114.jpg,664,1182,chair,227,322,375,507
VID_20180112_114434719_114.jpg,664,1182,chair,434,475,664,732
VID_20180112_114434719_114.jpg,664,1182,chair,2,861,401,1182
VID_20180112_114434719_053.jpg,664,1182,bag,216,540,424,812
VID_20180112_114434719_053.jpg,664,1182,chair,70,570,226,716
VID_20180112_114434719_053.jpg,664,1182,chair,462,585,664,788
VID_20180112_114434719_053.jpg,664,1182,chair,587,375,664,667
vid_24_070.jpg,664,1182,bag,1,214,359,752
vid_27_031.jpg,664,1182,bag,162,381,518,748
vid_27_031.jpg,664,1182,chair,2,169,164,363
vid_27_031.jpg,664,1182,chair,194,150,338,306
vid_4_000.jpg,664,1182,phone,88,523,374,666
vid_32_004.jpg,664,1182,remote,210,344,508,425
vid_24_028.jpg,664,1182,bag,196,336,512,747
vid_19_007.jpg,664,1182,phone,176,513,497,776
vid_25_024.jpg,664,1182,bag,95,636,390,976
vid_25_046.jpg,664,1182,bag,26,667,315,964
vid_27_294.jpg,664,1182,bag,164,353,503,735
vid_8_157.jpg,664,1182,laptop,58,157,647,687
vid_32_027.jpg,664,1182,remote,241,626,426,686
vid_4_094.jpg,664,1182,phone,51,566,231,669
vid_28_016.jpg,664,1182,bag,30,39,629,773
vid_3_063.jpg,1182,664,phone,398,187,754,560
VID_20180112_114434719_074.jpg,664,1182,bag,124,466,427,756
VID_20180112_114434719_074.jpg,664,1182,chair,46,451,229,603
VID_20180112_114434719_074.jpg,664,1182,chair,470,552,664,897
vid_8_178.jpg,664,1182,laptop,282,336,588,576
vid_8_178.jpg,664,1182,phone,213,633,320,696
VID_20180112_114601943_022.jpg,664,1182,bag,225,472,443,612
VID_20180112_114601943_022.jpg,664,1182,bin,1,520,157,762
vid_28_094.jpg,664,1182,bag,204,379,470,797
vid_24_011.jpg,664,1182,bag,59,178,658,791
vid_21_013.jpg,664,1182,phone,140,496,531,779
VID_20180112_114601943_006.jpg,664,1182,bag,387,601,627,757
VID_20180112_114601943_006.jpg,664,1182,laptop,120,294,279,424
VID_20180112_114601943_006.jpg,664,1182,bin,120,625,315,886
vid_30_066.jpg,664,1182,remote,218,472,496,697
vid_25_039.jpg,664,1182,bag,70,724,350,1012
VID_20180112_114505628_067.jpg,664,1182,bag,168,381,521,706
VID_20180112_114505628_067.jpg,664,1182,chair,114,1,454,346
VID_20180112_114505628_067.jpg,664,1182,bin,88,244,366,575
VID_20180112_114659775_025.jpg,664,1182,bag,409,757,582,972
VID_20180112_114659775_025.jpg,664,1182,chair,125,898,289,1182
vid_8_167.jpg,664,1182,laptop,249,225,643,552
vid_8_167.jpg,664,1182,phone,163,602,290,674
vid_27_162.jpg,664,1182,bag,110,395,468,585
vid_27_162.jpg,664,1182,chair,53,180,248,383
vid_27_162.jpg,664,1182,chair,482,196,664,481
vid_7_086.jpg,664,1182,laptop,88,155,664,393
vid_27_026.jpg,664,1182,bag,153,433,512,755
vid_27_026.jpg,664,1182,chair,15,252,201,420
vid_27_026.jpg,664,1182,chair,235,224,374,363
VID_20180112_114505628_004.jpg,664,1182,bag,291,469,440,613
VID_20180112_114505628_004.jpg,664,1182,laptop,303,247,403,326
VID_20180112_114505628_004.jpg,664,1182,chair,13,174,151,381
VID_20180112_114505628_004.jpg,664,1182,chair,362,231,536,466
VID_20180112_114505628_004.jpg,664,1182,box,57,419,184,517
VID_20180112_114505628_004.jpg,664,1182,bin,287,440,402,506
vid_7_030.jpg,664,1182,laptop,58,214,482,419
vid_24_031.jpg,664,1182,bag,136,350,445,759
vid_28_009.jpg,664,1182,bag,142,261,579,767
vid_22_072.jpg,664,1182,laptop,402,253,621,581
vid_1_028.jpg,664,1182,phone,297,407,648,670
vid_2_154.jpg,664,1182,phone,219,550,343,664
vid_8_037.jpg,664,1182,laptop,129,328,636,723
vid_8_037.jpg,664,1182,phone,82,998,311,1182
vid_7_124.jpg,664,1182,laptop,16,68,318,256
vid_7_124.jpg,664,1182,laptop,134,418,586,626
vid_27_069.jpg,664,1182,bag,171,328,591,626
vid_27_069.jpg,664,1182,chair,1,47,107,236
vid_27_069.jpg,664,1182,chair,243,151,449,366
vid_7_051.jpg,664,1182,laptop,20,180,574,578
vid_7_220.jpg,664,1182,laptop,126,307,393,518
vid_7_220.jpg,664,1182,bag,140,25,323,157
vid_7_220.jpg,664,1182,bag,332,19,499,140
vid_8_015.jpg,664,1182,laptop,2,262,640,790
vid_6_239.jpg,664,1182,laptop,2,2,298,183
vid_6_239.jpg,664,1182,laptop,88,222,585,733
vid_24_042.jpg,664,1182,bag,223,366,459,706
vid_27_006.jpg,664,1182,bag,180,495,536,796
vid_27_006.jpg,664,1182,chair,66,339,240,501
vid_27_006.jpg,664,1182,chair,287,313,407,430
vid_22_003.jpg,664,1182,laptop,35,208,479,637
vid_4_095.jpg,664,1182,phone,55,566,229,679
vid_24_029.jpg,664,1182,bag,169,331,480,737
vid_22_034.jpg,664,1182,laptop,99,297,373,707
vid_7_080.jpg,664,1182,laptop,160,203,647,403
vid_27_149.jpg,664,1182,bag,64,422,449,633
vid_27_149.jpg,664,1182,chair,24,244,225,435
vid_27_149.jpg,664,1182,chair,475,295,664,562
vid_28_143.jpg,664,1182,bag,110,239,471,635
vid_32_127.jpg,664,1182,remote,191,342,427,405
vid_26_125.jpg,664,1182,bag,9,608,384,920
